          x                   f(x)                  Ln                  err         
  -1.000000000000000    1.000000000000000    1.000000000000000    0.000000000000000
  -0.952380952380952    0.952380952380952   -3.006272236675622    3.958653189056575
  -0.904761904761905    0.904761904761905   -0.840554787267020    1.745316692028924
  -0.857142857142857    0.857142857142857    0.857142857142862    0.000000000000005
  -0.809523809523809    0.809523809523809    1.261676387487082    0.452152577963273
  -0.761904761904762    0.761904761904762    1.019501221357149    0.257596459452387
  -0.714285714285714    0.714285714285714    0.714285714285712    0.000000000000002
  -0.666666666666666    0.666666666666666    0.566333150232537    0.100333516434129
  -0.619047619047619    0.619047619047619    0.551153865646113    0.067893753401505
  -0.571428571428571    0.571428571428571    0.571428571428572    0.000000000000001
  -0.523809523809523    0.523809523809523    0.559773273337937    0.035963749528413
  -0.476190476190476    0.476190476190476    0.504236983117917    0.028046506927441
  -0.428571428571428    0.428571428571428    0.428571428571428    0.000000000000000
  -0.380952380952380    0.380952380952380    0.361449847252215    0.019502533700166
  -0.333333333333333    0.333333333333333    0.315936974102575    0.017396359230758
  -0.285714285714285    0.285714285714285    0.285714285714285    0.000000000000000
  -0.238095238095238    0.238095238095238    0.254048793627801    0.015953555532563
  -0.190476190476190    0.190476190476190    0.206984638115733    0.016508447639543
  -0.142857142857142    0.142857142857142    0.142857142857142    0.000000000000000
  -0.095238095238095    0.095238095238095    0.073909842034340    0.021328253203755
  -0.047619047619047    0.047619047619047    0.020271582560961    0.027347465058086
   0.000000000000000    0.000000000000000    0.000000000000000    0.000000000000000
   0.047619047619048    0.047619047619048    0.020271582560962    0.027347465058086
   0.095238095238096    0.095238095238096    0.073909842034342    0.021328253203754
   0.142857142857143    0.142857142857143    0.142857142857144    0.000000000000000
   0.190476190476191    0.190476190476191    0.206984638115735    0.016508447639544
   0.238095238095239    0.238095238095239    0.254048793627802    0.015953555532563
   0.285714285714286    0.285714285714286    0.285714285714286    0.000000000000000
   0.333333333333334    0.333333333333334    0.315936974102576    0.017396359230758
   0.380952380952381    0.380952380952381    0.361449847252216    0.019502533700166
   0.428571428571429    0.428571428571429    0.428571428571429    0.000000000000000
   0.476190476190477    0.476190476190477    0.504236983117919    0.028046506927442
   0.523809523809524    0.523809523809524    0.559773273337937    0.035963749528413
   0.571428571428572    0.571428571428572    0.571428571428571    0.000000000000001
   0.619047619047620    0.619047619047620    0.551153865646112    0.067893753401507
   0.666666666666667    0.666666666666667    0.566333150232538    0.100333516434129
   0.714285714285715    0.714285714285715    0.714285714285719    0.000000000000004
   0.761904761904763    0.761904761904763    1.019501221357159    0.257596459452397
   0.809523809523810    0.809523809523810    1.261676387487084    0.452152577963274
   0.857142857142858    0.857142857142858    0.857142857142834    0.000000000000024
   0.904761904761906    0.904761904761906   -0.840554787267085    1.745316692028990
   0.952380952380953    0.952380952380953   -3.006272236675656    3.958653189056609
