          x                   f(x)                  Pn                  err         
  -1.000000000000000    1.000000000000000    1.000000000000909    0.000000000000909
  -0.952380952380952    0.952380952380952   -3.006272236635141    3.958653189016093
  -0.904761904761905    0.904761904761905   -0.840554787247981    1.745316692009886
  -0.857142857142857    0.857142857142857    0.857142857144254    0.000000000001397
  -0.809523809523809    0.809523809523809    1.261676387483874    0.452152577960065
  -0.761904761904762    0.761904761904762    1.019501221356094    0.257596459451333
  -0.714285714285714    0.714285714285714    0.714285714287193    0.000000000001479
  -0.666666666666666    0.666666666666666    0.566333150235149    0.100333516431517
  -0.619047619047619    0.619047619047619    0.551153865648605    0.067893753399014
  -0.571428571428571    0.571428571428571    0.571428571430634    0.000000000002063
  -0.523809523809523    0.523809523809523    0.559773273339807    0.035963749530283
  -0.476190476190476    0.476190476190476    0.504236983119909    0.028046506929434
  -0.428571428571428    0.428571428571428    0.428571428573629    0.000000000002201
  -0.380952380952380    0.380952380952380    0.361449847254478    0.019502533697903
  -0.333333333333333    0.333333333333333    0.315936974104691    0.017396359228642
  -0.285714285714285    0.285714285714285    0.285714285716159    0.000000000001874
  -0.238095238095238    0.238095238095238    0.254048793629514    0.015953555534276
  -0.190476190476190    0.190476190476190    0.206984638117483    0.016508447641293
  -0.142857142857142    0.142857142857142    0.142857142859109    0.000000000001967
  -0.095238095238095    0.095238095238095    0.073909842036570    0.021328253201525
  -0.047619047619047    0.047619047619047    0.020271582563327    0.027347465055720
   0.000000000000000    0.000000000000000    0.000000000002274    0.000000000002273
   0.047619047619048    0.047619047619048    0.020271582562940    0.027347465056108
   0.095238095238096    0.095238095238096    0.073909842035979    0.021328253202117
   0.142857142857143    0.142857142857143    0.142857142858599    0.000000000001456
   0.190476190476191    0.190476190476191    0.206984638117308    0.016508447641117
   0.238095238095239    0.238095238095239    0.254048793629776    0.015953555534537
   0.285714285714286    0.285714285714286    0.285714285716748    0.000000000002461
   0.333333333333334    0.333333333333334    0.315936974105325    0.017396359228008
   0.380952380952381    0.380952380952381    0.361449847254848    0.019502533697534
   0.428571428571429    0.428571428571429    0.428571428573583    0.000000000002154
   0.476190476190477    0.476190476190477    0.504236983119592    0.028046506929115
   0.523809523809524    0.523809523809524    0.559773273339657    0.035963749530133
   0.571428571428572    0.571428571428572    0.571428571431177    0.000000000002605
   0.619047619047620    0.619047619047620    0.551153865650074    0.067893753397546
   0.666666666666667    0.666666666666667    0.566333150237065    0.100333516429602
   0.714285714285715    0.714285714285715    0.714285714288430    0.000000000002715
   0.761904761904763    0.761904761904763    1.019501221355242    0.257596459450479
   0.809523809523810    0.809523809523810    1.261676387481657    0.452152577957847
   0.857142857142858    0.857142857142858    0.857142857143913    0.000000000001055
   0.904761904761906    0.904761904761906   -0.840554787239682    1.745316692001588
   0.952380952380953    0.952380952380953   -3.006272236615132    3.958653188996085
