Number of nodes: 841   cord x               cord y 
 200:             0.892857             0.214286
 201:             0.928571             0.214286
 202:             0.964286             0.214286
 203:                    1             0.214286
 204:                    0                 0.25
 205:            0.0357143                 0.25
 206:            0.0714286                 0.25
 207:             0.107143                 0.25
 208:             0.142857                 0.25
 209:             0.178571                 0.25
 210:             0.214286                 0.25
 211:                 0.25                 0.25
 212:             0.285714                 0.25
 213:             0.321429                 0.25
 214:             0.357143                 0.25
 215:             0.392857                 0.25
 216:             0.428571                 0.25
 217:             0.464286                 0.25
 218:                  0.5                 0.25
 219:             0.535714                 0.25
 220:             0.571429                 0.25
 221:             0.607143                 0.25
 222:             0.642857                 0.25
 223:             0.678571                 0.25
 224:             0.714286                 0.25
 225:                 0.75                 0.25
 226:             0.785714                 0.25
 227:             0.821429                 0.25
 228:             0.857143                 0.25
 229:             0.892857                 0.25
 230:             0.928571                 0.25
 231:             0.964286                 0.25
 232:                    1                 0.25
 233:                    0             0.285714
 234:            0.0357143             0.285714
 235:            0.0714286             0.285714
 236:             0.107143             0.285714
 237:             0.142857             0.285714
 238:             0.178571             0.285714
 239:             0.214286             0.285714
 240:                 0.25             0.285714
 241:             0.285714             0.285714
 242:             0.321429             0.285714
 243:             0.357143             0.285714
 244:             0.392857             0.285714
 245:             0.428571             0.285714
 246:             0.464286             0.285714
 247:                  0.5             0.285714
 248:             0.535714             0.285714
 249:             0.571429             0.285714
 250:             0.607143             0.285714
 251:             0.642857             0.285714
 252:             0.678571             0.285714
 253:             0.714286             0.285714
 254:                 0.75             0.285714
 255:             0.785714             0.285714
 256:             0.821429             0.285714
 257:             0.857143             0.285714
 258:             0.892857             0.285714
 259:             0.928571             0.285714
 260:             0.964286             0.285714
 261:                    1             0.285714
 262:                    0             0.321429
 263:            0.0357143             0.321429
 264:            0.0714286             0.321429
 265:             0.107143             0.321429
 266:             0.142857             0.321429
 267:             0.178571             0.321429
 268:             0.214286             0.321429
 269:                 0.25             0.321429
 270:             0.285714             0.321429
 271:             0.321429             0.321429
 272:             0.357143             0.321429
 273:             0.392857             0.321429
 274:             0.428571             0.321429
 275:             0.464286             0.321429
 276:                  0.5             0.321429
 277:             0.535714             0.321429
 278:             0.571429             0.321429
 279:             0.607143             0.321429
 280:             0.642857             0.321429
 281:             0.678571             0.321429
 282:             0.714286             0.321429
 283:                 0.75             0.321429
 284:             0.785714             0.321429
 285:             0.821429             0.321429
 286:             0.857143             0.321429
 287:             0.892857             0.321429
 288:             0.928571             0.321429
 289:             0.964286             0.321429
 290:                    1             0.321429
 291:                    0             0.357143
 292:            0.0357143             0.357143
 293:            0.0714286             0.357143
 294:             0.107143             0.357143
 295:             0.142857             0.357143
 296:             0.178571             0.357143
 297:             0.214286             0.357143
 298:                 0.25             0.357143
 299:             0.285714             0.357143
 300:             0.321429             0.357143
 301:             0.357143             0.357143
 302:             0.392857             0.357143
 303:             0.428571             0.357143
 304:             0.464286             0.357143
 305:                  0.5             0.357143
 306:             0.535714             0.357143
 307:             0.571429             0.357143
 308:             0.607143             0.357143
 309:             0.642857             0.357143
 310:             0.678571             0.357143
 311:             0.714286             0.357143
 312:                 0.75             0.357143
 313:             0.785714             0.357143
 314:             0.821429             0.357143
 315:             0.857143             0.357143
 316:             0.892857             0.357143
 317:             0.928571             0.357143
 318:             0.964286             0.357143
 319:                    1             0.357143
 320:                    0             0.392857
 321:            0.0357143             0.392857
 322:            0.0714286             0.392857
 323:             0.107143             0.392857
 324:             0.142857             0.392857
 325:             0.178571             0.392857
 326:             0.214286             0.392857
 327:                 0.25             0.392857
 328:             0.285714             0.392857
 329:             0.321429             0.392857
 330:             0.357143             0.392857
 331:             0.392857             0.392857
 332:             0.428571             0.392857
 333:             0.464286             0.392857
 334:                  0.5             0.392857
 335:             0.535714             0.392857
 336:             0.571429             0.392857
 337:             0.607143             0.392857
 338:             0.642857             0.392857
 339:             0.678571             0.392857
 340:             0.714286             0.392857
 341:                 0.75             0.392857
 342:             0.785714             0.392857
 343:             0.821429             0.392857
 344:             0.857143             0.392857
 345:             0.892857             0.392857
 346:             0.928571             0.392857
 347:             0.964286             0.392857
 348:                    1             0.392857
 349:                    0             0.428571
 350:            0.0357143             0.428571
 351:            0.0714286             0.428571
 352:             0.107143             0.428571
 353:             0.142857             0.428571
 354:             0.178571             0.428571
 355:             0.214286             0.428571
 356:                 0.25             0.428571
 357:             0.285714             0.428571
 358:             0.321429             0.428571
 359:             0.357143             0.428571
 360:             0.392857             0.428571
 361:             0.428571             0.428571
 362:             0.464286             0.428571
 363:                  0.5             0.428571
 364:             0.535714             0.428571
 365:             0.571429             0.428571
 366:             0.607143             0.428571
 367:             0.642857             0.428571
 368:             0.678571             0.428571
 369:             0.714286             0.428571
 370:                 0.75             0.428571
 371:             0.785714             0.428571
 372:             0.821429             0.428571
 373:             0.857143             0.428571
 374:             0.892857             0.428571
 375:             0.928571             0.428571
 376:             0.964286             0.428571
 377:                    1             0.428571
 378:                    0             0.464286
 379:            0.0357143             0.464286
 380:            0.0714286             0.464286
 381:             0.107143             0.464286
 382:             0.142857             0.464286
 383:             0.178571             0.464286
 384:             0.214286             0.464286
 385:                 0.25             0.464286
 386:             0.285714             0.464286
 387:             0.321429             0.464286
 388:             0.357143             0.464286
 389:             0.392857             0.464286
 390:             0.428571             0.464286
 391:             0.464286             0.464286
 392:                  0.5             0.464286
 393:             0.535714             0.464286
 394:             0.571429             0.464286
 395:             0.607143             0.464286
 396:             0.642857             0.464286
 397:             0.678571             0.464286
 398:             0.714286             0.464286
 399:                 0.75             0.464286
 400:             0.785714             0.464286
 401:             0.821429             0.464286
 402:             0.857143             0.464286
 403:             0.892857             0.464286
 404:             0.928571             0.464286
 405:             0.964286             0.464286
 406:                    1             0.464286
 407:                    0                  0.5
 408:            0.0357143                  0.5
 409:            0.0714286                  0.5
 410:             0.107143                  0.5
 411:             0.142857                  0.5
 412:             0.178571                  0.5
 413:             0.214286                  0.5
 414:                 0.25                  0.5
 415:             0.285714                  0.5
 416:             0.321429                  0.5
 417:             0.357143                  0.5
 418:             0.392857                  0.5
 419:             0.428571                  0.5
 420:             0.464286                  0.5
 421:                  0.5                  0.5
 422:             0.535714                  0.5
 423:             0.571429                  0.5
 424:             0.607143                  0.5
 425:             0.642857                  0.5
 426:             0.678571                  0.5
 427:             0.714286                  0.5
 428:                 0.75                  0.5
 429:             0.785714                  0.5
 430:             0.821429                  0.5
 431:             0.857143                  0.5
 432:             0.892857                  0.5
 433:             0.928571                  0.5
 434:             0.964286                  0.5
 435:                    1                  0.5
 436:                    0             0.535714
 437:            0.0357143             0.535714
 438:            0.0714286             0.535714
 439:             0.107143             0.535714
 440:             0.142857             0.535714
 441:             0.178571             0.535714
 442:             0.214286             0.535714
 443:                 0.25             0.535714
 444:             0.285714             0.535714
 445:             0.321429             0.535714
 446:             0.357143             0.535714
 447:             0.392857             0.535714
 448:             0.428571             0.535714
 449:             0.464286             0.535714
 450:                  0.5             0.535714
 451:             0.535714             0.535714
 452:             0.571429             0.535714
 453:             0.607143             0.535714
 454:             0.642857             0.535714
 455:             0.678571             0.535714
 456:             0.714286             0.535714
 457:                 0.75             0.535714
 458:             0.785714             0.535714
 459:             0.821429             0.535714
 460:             0.857143             0.535714
 461:             0.892857             0.535714
 462:             0.928571             0.535714
 463:             0.964286             0.535714
 464:                    1             0.535714
 465:                    0             0.571429
 466:            0.0357143             0.571429
 467:            0.0714286             0.571429
 468:             0.107143             0.571429
 469:             0.142857             0.571429
 470:             0.178571             0.571429
 471:             0.214286             0.571429
 472:                 0.25             0.571429
 473:             0.285714             0.571429
 474:             0.321429             0.571429
 475:             0.357143             0.571429
 476:             0.392857             0.571429
 477:             0.428571             0.571429
 478:             0.464286             0.571429
 479:                  0.5             0.571429
 480:             0.535714             0.571429
 481:             0.571429             0.571429
 482:             0.607143             0.571429
 483:             0.642857             0.571429
 484:             0.678571             0.571429
 485:             0.714286             0.571429
 486:                 0.75             0.571429
 487:             0.785714             0.571429
 488:             0.821429             0.571429
 489:             0.857143             0.571429
 490:             0.892857             0.571429
 491:             0.928571             0.571429
 492:             0.964286             0.571429
 493:                    1             0.571429
 494:                    0             0.607143
 495:            0.0357143             0.607143
 496:            0.0714286             0.607143
 497:             0.107143             0.607143
 498:             0.142857             0.607143
 499:             0.178571             0.607143
 500:             0.214286             0.607143
 501:                 0.25             0.607143
 502:             0.285714             0.607143
 503:             0.321429             0.607143
 504:             0.357143             0.607143
 505:             0.392857             0.607143
 506:             0.428571             0.607143
 507:             0.464286             0.607143
 508:                  0.5             0.607143
 509:             0.535714             0.607143
 510:             0.571429             0.607143
 511:             0.607143             0.607143
 512:             0.642857             0.607143
 513:             0.678571             0.607143
 514:             0.714286             0.607143
 515:                 0.75             0.607143
 516:             0.785714             0.607143
 517:             0.821429             0.607143
 518:             0.857143             0.607143
 519:             0.892857             0.607143
 520:             0.928571             0.607143
 521:             0.964286             0.607143
 522:                    1             0.607143
 523:                    0             0.642857
 524:            0.0357143             0.642857
 525:            0.0714286             0.642857
 526:             0.107143             0.642857
 527:             0.142857             0.642857
 528:             0.178571             0.642857
 529:             0.214286             0.642857
 530:                 0.25             0.642857
 531:             0.285714             0.642857
 532:             0.321429             0.642857
 533:             0.357143             0.642857
 534:             0.392857             0.642857
 535:             0.428571             0.642857
 536:             0.464286             0.642857
 537:                  0.5             0.642857
 538:             0.535714             0.642857
 539:             0.571429             0.642857
 540:             0.607143             0.642857
 541:             0.642857             0.642857
 542:             0.678571             0.642857
 543:             0.714286             0.642857
 544:                 0.75             0.642857
 545:             0.785714             0.642857
 546:             0.821429             0.642857
 547:             0.857143             0.642857
 548:             0.892857             0.642857
 549:             0.928571             0.642857
 550:             0.964286             0.642857
 551:                    1             0.642857
 552:                    0             0.678571
 553:            0.0357143             0.678571
 554:            0.0714286             0.678571
 555:             0.107143             0.678571
 556:             0.142857             0.678571
 557:             0.178571             0.678571
 558:             0.214286             0.678571
 559:                 0.25             0.678571
 560:             0.285714             0.678571
 561:             0.321429             0.678571
 562:             0.357143             0.678571
 563:             0.392857             0.678571
 564:             0.428571             0.678571
 565:             0.464286             0.678571
 566:                  0.5             0.678571
 567:             0.535714             0.678571
 568:             0.571429             0.678571
 569:             0.607143             0.678571
 570:             0.642857             0.678571
 571:             0.678571             0.678571
 572:             0.714286             0.678571
 573:                 0.75             0.678571
 574:             0.785714             0.678571
 575:             0.821429             0.678571
 576:             0.857143             0.678571
 577:             0.892857             0.678571
 578:             0.928571             0.678571
 579:             0.964286             0.678571
 580:                    1             0.678571
 581:                    0             0.714286
 582:            0.0357143             0.714286
 583:            0.0714286             0.714286
 584:             0.107143             0.714286
 585:             0.142857             0.714286
 586:             0.178571             0.714286
 587:             0.214286             0.714286
 588:                 0.25             0.714286
 589:             0.285714             0.714286
 590:             0.321429             0.714286
 591:             0.357143             0.714286
 592:             0.392857             0.714286
 593:             0.428571             0.714286
 594:             0.464286             0.714286
 595:                  0.5             0.714286
 596:             0.535714             0.714286
 597:             0.571429             0.714286
 598:             0.607143             0.714286
 599:             0.642857             0.714286
 600:             0.678571             0.714286
 601:             0.714286             0.714286
 602:                 0.75             0.714286
 603:             0.785714             0.714286
 604:             0.821429             0.714286
 605:             0.857143             0.714286
 606:             0.892857             0.714286
 607:             0.928571             0.714286
 608:             0.964286             0.714286
 609:                    1             0.714286
 610:                    0                 0.75
 611:            0.0357143                 0.75
 612:            0.0714286                 0.75
 613:             0.107143                 0.75
 614:             0.142857                 0.75
 615:             0.178571                 0.75
 616:             0.214286                 0.75
 617:                 0.25                 0.75
 618:             0.285714                 0.75
 619:             0.321429                 0.75
 620:             0.357143                 0.75
 621:             0.392857                 0.75
 622:             0.428571                 0.75
 623:             0.464286                 0.75
 624:                  0.5                 0.75
 625:             0.535714                 0.75
 626:             0.571429                 0.75
 627:             0.607143                 0.75
 628:             0.642857                 0.75
 629:             0.678571                 0.75
 630:             0.714286                 0.75
 631:                 0.75                 0.75
 632:             0.785714                 0.75
 633:             0.821429                 0.75
 634:             0.857143                 0.75
 635:             0.892857                 0.75
 636:             0.928571                 0.75
 637:             0.964286                 0.75
 638:                    1                 0.75
 639:                    0             0.785714
 640:            0.0357143             0.785714
 641:            0.0714286             0.785714
 642:             0.107143             0.785714
 643:             0.142857             0.785714
 644:             0.178571             0.785714
 645:             0.214286             0.785714
 646:                 0.25             0.785714
 647:             0.285714             0.785714
 648:             0.321429             0.785714
 649:             0.357143             0.785714
 650:             0.392857             0.785714
 651:             0.428571             0.785714
 652:             0.464286             0.785714
 653:                  0.5             0.785714
 654:             0.535714             0.785714
 655:             0.571429             0.785714
 656:             0.607143             0.785714
 657:             0.642857             0.785714
 658:             0.678571             0.785714
 659:             0.714286             0.785714
 660:                 0.75             0.785714
 661:             0.785714             0.785714
 662:             0.821429             0.785714
 663:             0.857143             0.785714
 664:             0.892857             0.785714
 665:             0.928571             0.785714
 666:             0.964286             0.785714
 667:                    1             0.785714
 668:                    0             0.821429
 669:            0.0357143             0.821429
 670:            0.0714286             0.821429
 671:             0.107143             0.821429
 672:             0.142857             0.821429
 673:             0.178571             0.821429
 674:             0.214286             0.821429
 675:                 0.25             0.821429
 676:             0.285714             0.821429
 677:             0.321429             0.821429
 678:             0.357143             0.821429
 679:             0.392857             0.821429
 680:             0.428571             0.821429
 681:             0.464286             0.821429
 682:                  0.5             0.821429
 683:             0.535714             0.821429
 684:             0.571429             0.821429
 685:             0.607143             0.821429
 686:             0.642857             0.821429
 687:             0.678571             0.821429
 688:             0.714286             0.821429
 689:                 0.75             0.821429
 690:             0.785714             0.821429
 691:             0.821429             0.821429
 692:             0.857143             0.821429
 693:             0.892857             0.821429
 694:             0.928571             0.821429
 695:             0.964286             0.821429
 696:                    1             0.821429
 697:                    0             0.857143
 698:            0.0357143             0.857143
 699:            0.0714286             0.857143
 700:             0.107143             0.857143
 701:             0.142857             0.857143
 702:             0.178571             0.857143
 703:             0.214286             0.857143
 704:                 0.25             0.857143
 705:             0.285714             0.857143
 706:             0.321429             0.857143
 707:             0.357143             0.857143
 708:             0.392857             0.857143
 709:             0.428571             0.857143
 710:             0.464286             0.857143
 711:                  0.5             0.857143
 712:             0.535714             0.857143
 713:             0.571429             0.857143
 714:             0.607143             0.857143
 715:             0.642857             0.857143
 716:             0.678571             0.857143
 717:             0.714286             0.857143
 718:                 0.75             0.857143
 719:             0.785714             0.857143
 720:             0.821429             0.857143
 721:             0.857143             0.857143
 722:             0.892857             0.857143
 723:             0.928571             0.857143
 724:             0.964286             0.857143
 725:                    1             0.857143
 726:                    0             0.892857
 727:            0.0357143             0.892857
 728:            0.0714286             0.892857
 729:             0.107143             0.892857
 730:             0.142857             0.892857
 731:             0.178571             0.892857
 732:             0.214286             0.892857
 733:                 0.25             0.892857
 734:             0.285714             0.892857
 735:             0.321429             0.892857
 736:             0.357143             0.892857
 737:             0.392857             0.892857
 738:             0.428571             0.892857
 739:             0.464286             0.892857
 740:                  0.5             0.892857
 741:             0.535714             0.892857
 742:             0.571429             0.892857
 743:             0.607143             0.892857
 744:             0.642857             0.892857
 745:             0.678571             0.892857
 746:             0.714286             0.892857
 747:                 0.75             0.892857
 748:             0.785714             0.892857
 749:             0.821429             0.892857
 750:             0.857143             0.892857
 751:             0.892857             0.892857
 752:             0.928571             0.892857
 753:             0.964286             0.892857
 754:                    1             0.892857
 755:                    0             0.928571
 756:            0.0357143             0.928571
 757:            0.0714286             0.928571
 758:             0.107143             0.928571
 759:             0.142857             0.928571
 760:             0.178571             0.928571
 761:             0.214286             0.928571
 762:                 0.25             0.928571
 763:             0.285714             0.928571
 764:             0.321429             0.928571
 765:             0.357143             0.928571
 766:             0.392857             0.928571
 767:             0.428571             0.928571
 768:             0.464286             0.928571
 769:                  0.5             0.928571
 770:             0.535714             0.928571
 771:             0.571429             0.928571
 772:             0.607143             0.928571
 773:             0.642857             0.928571
 774:             0.678571             0.928571
 775:             0.714286             0.928571
 776:                 0.75             0.928571
 777:             0.785714             0.928571
 778:             0.821429             0.928571
 779:             0.857143             0.928571
 780:             0.892857             0.928571
 781:             0.928571             0.928571
 782:             0.964286             0.928571
 783:                    1             0.928571
